provinsi;kabupaten;kecamatan;status_kecukupan_mbg_daging_sapi;status_kecukupan_mbg_daging_ayam;status_kecukupan_mbg_telur_ayam;koord_camat;koord_polsek;koord_koramil;jumlah_pendidik_tenaga_pendidikan;jumlah_tenaga_kesehatan;jumlah_posyandu;jumlah_puskesmas;jumlah_kelompok_belajar;jumlah_taman_kanak_kanak;jumlah_siswa_pra_sekolah;jumlah_sd_mi;jumlah_siswa_sd_mi;jumlah_smp_mts;jumlah_siswa_smp_mts;jumlah_sma_ma;jumlah_siswa_sma_ma;jumlah_siswa_slb_disabel;jumlah_santri;jumlah_k1;jumlah_asi_ekslusif;jumlah_ibu_hamil;jumlah_ibu_menyusui;balita_0_4_tahun;permintaan_daging_sapi_mbg;permintaan_daging_ayam_ras_mbg;permintaan_telur_ayam_ras_mbg;populasi_sapi_kerbau;populasi_ayam_ras_pedaging;populasi_ayam_ras_petelur;populasi_ayam_lokal_buras;populasi_itik;populasi_kambing;potensi_produksi_daging_sapi;potensi_produksi_daging_ayam_ras;potensi_produksi_telur_ayam_ras;pemenuhan_potensial_produk_daging_sapi_pemenuhan_mbg;pemenuhan_potensial_produk_daging_ayam_ras_pemenuhan_mbg;pemenuhan_potensial_produk_telur_ayam_ras_pemenuhan_mbg;jumlah_peternak_ayam_ras_pedaging;jumlah_peternak_ayam_ras_petelur;jumlah_peternak_sapi_kerbau;jumlah_peternak_kambing_domba;jumlah_peternak_ayam_lokal_buras;jumlah_peternak_itik;jumlah_rph_tph_r;jumlah_rph_tph_tugas;jumlah_cold_storage_gudang_pendingin;jumlah_gudang_kering
Kalimantan Barat;Kapuas Hulu;putussibau utara;tidak_cukup;tidak_cukup;tidak_cukup;0.8882775059571618, 112.92928040247936;0.8292926725625744, 112.94237732573305;0.8583424815353593, 112.9255251730726;875;334;0;0;11;6;680;32;3.380;9;1.955;6;1.560;0;0;0;0;0;0;0;22.434,00;30.120,00;31.980,00;281;69.022;0;3.420;136;19;8.120,11;4.238,99;0;36,20%;14,07%;0,00%;4;0;0;0;0;0;1;0;1;0
Kalimantan Barat;Kapuas Hulu;seberuang;tidak_cukup;sangat_cukup;cukup;0.7325069273724045, 112.00829335982635;0.3632991204784143, 111.98552580444942;0.42631022250467393, 112.00477296450556;359;48;0;0;8;1;218;16;1.116;3;537;3;397;0;0;0;0;0;0;0;6.170,70;8.137,00;8.645,70;37;107.551;365;3.037;206;0;1.069,20;6.605,24;5.443,87;17,33%;81,18%;62,97%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;selimbau;sangat_cukup;sangat_cukup;tidak_cukup;0.8654566123500523, 112.10933219439951;0.5974899867138181, 112.12268934370996;0.8583460416847893, 112.9255216174636;549;58;0;0;11;1;281;22;1.464;9;614;2;471;0;0;0;0;0;0;0;7.538,90;9.877,80;10.494,90;1.226;154.117;270;1.631;8;2;35.427,97;9.465,10;4.026,97;469,94%;95,82%;38,37%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;semitau;tidak_cukup;tidak_cukup;sangat_cukup;0.5483428708614616, 111.96813992670047;0.551286117964009, 111.96399906062416;;349;105;0;0;5;2;178;15;1.466;4;789;1;552;0;0;0;0;0;0;0;7.449,70;10.176,00;10.850,70;0;16.867;2.026;872;30;0;0;1.035,89;30.217,22;0,00%;10,18%;278,48%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;silat hilir;tidak_cukup;tidak_cukup;tidak_cukup;0.3433560937075938, 111.79080990417843;0.36393845464987945, 111.95596859624172;;665;55;0;0;7;1;363;32;2.987;6;971;2;462;0;0;0;0;0;0;0;8.238,20;10.548,00;11.200,20;64;9.922;0;816;36;175;1.849,42;609,36;0;22,45%;5,78%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;silat hulu;tidak_cukup;tidak_cukup;sangat_cukup;0.5730172775502922, 111.96504327404287;0.2497055538858631, 111.99053528066135;;432;51;0;0;11;1;292;22;1.267;6;611;2;293;0;0;0;0;0;0;0;5.762,30;7.229,00;7.650,30;32;42.994;4.400;1.590;149;0;924,71;2.640,48;65.624,77;16,05%;36,53%;857,81%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kapuas Hulu;suhaid;tidak_cukup;tidak_cukup;tidak_cukup;0.8522216827201504, 112.02272370503718;0.6120512854833585, 112.00459467149345;;308;50;0;0;8;1;228;14;983;5;502;2;338;0;0;0;0;0;0;0;5.613,20;7.288,40;7.723,20;29;0;0;107;0;0;838,02;0;0;14,93%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kayong Utara;kepulauan karimata;tidak_cukup;tidak_cukup;tidak_cukup;-1.3021885369088015, 109.14476691438631;-1.2023378121903825, 109.68023330269196;-1.1489067433760456, 109.68245623768037;182;43;0;11;0;1;28;7;433;4;156;1;12;0;0;0;0;0;0;0;435,7;504;548,7;0;153;0;2.789;0;398;0;9,4;0;0,00%;1,86%;0,00%;0;0;0;0;0;#REF!;0;0;0;0
Kalimantan Barat;Kayong Utara;pulau maya;sangat_cukup;tidak_cukup;tidak_cukup;-1.2119201112115854, 109.67743675657447;-1.2121832926754732, 109.6816708413502;-1.2114635996876315, 109.67957284975283;477;49;0;0;5;6;335;17;1.739;8;792;3;623;0;0;0;0;0;0;0;9.537,00;12.612,20;13.374,00;387;11.110;0;8.464;322;2.713;11.183,22;682,32;0;117,26%;5,41%;0,00%;8;1;1;71;0;0;0;0;0;0
Kalimantan Barat;Kayong Utara;seponti;sangat_cukup;tidak_cukup;tidak_cukup;-0.8910546488231008, 109.85895609328652;;;363;40;0;0;4;4;284;12;1.223;5;509;2;426;0;0;0;0;0;0;0;6.986,60;9.090,00;9.612,60;327;55.473;0;8.877;215;2.009;9.449,38;3.406,87;0;135,25%;37,48%;0,00%;8;0;1;2;0;0;0;0;0;0
Kalimantan Barat;Kayong Utara;simpang hilir;cukup;tidak_cukup;tidak_cukup;-1.0930164196676198, 109.96373912470699;-1.0130870993416283, 109.96144567083442;-1.101420998711269, 109.96011441403833;1.113;73;0;0;10;15;792;36;4.248;16;1.811;6;1.434;0;0;0;0;0;0;0;22.093,80;29.168,40;30.907,80;527;215.060;0;19.487;287;1.013;15.228,82;13.207,91;0;68,93%;45,28%;0,00%;62;1;63;16;0;0;0;0;0;0
Kalimantan Barat;Kayong Utara;sukadana;sangat_cukup;cukup;tidak_cukup;-1.2131746257595948, 109.96838231559913;-1.154098319689373, 109.96628009954918;-1.2337997444016222, 109.95285246045742;803;157;0;0;7;12;686;24;3.441;10;1.643;6;1.495;34;600;0;0;0;0;0;21.717,90;29.073,40;30.859,90;1.200;270.895;0;13.131;877;1.249;34.676,64;16.637,02;0;159,67%;57,22%;0,00%;42;2;165;4;0;0;1;0;0;0
Kalimantan Barat;Kayong Utara;teluk batang;tidak_cukup;tidak_cukup;tidak_cukup;-0.9996596128747228, 109.7751073121207;-0.9330672377188152, 109.77336979625315;;473;87;0;0;5;13;469;21;2.554;8;1.140;5;1.168;0;0;2.204;0;0;0;0;16.429,10;22.178,80;23.558,10;58;119.713;0;4.514;48;694;1.676,04;7.352,17;0;10,20%;33,15%;0,00%;44;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;air upas;tidak_cukup;cukup;tidak_cukup;-2.3149701293333127, 110.81750770647109;-2.3094468811730127, 110.8303312363351;;552;52;21;1;7;11;618;24;2.634;5;632;2;477;0;0;0;0;0;0;0;10.453,70;12.825,00;13.457,70;144;133.215;0;7.834;173;25;4.161,20;8.181,40;0;39,81%;63,79%;0,00%;0;1;0;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;benua kayong;sangat_cukup;sangat_cukup;tidak_cukup;-1.869580695388623, 109.98399186229553;-1.849016961081634, 109.96616320709539;;1.346;60;35;1;15;14;1.047;27;4.842;14;2.830;11;3.929;0;0;0;0;0;0;0;50.343,80;69.625,40;74.068,80;4.223;2.669.664;24;15.826;5.325;459;122.032,88;163.957,41;357,95;242,40%;235,49%;0,48%;4;0;1052;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;delta pawan;tidak_cukup;tidak_cukup;tidak_cukup;-1.8316021621674246, 109.9785879937186;-1.7985748125130328, 109.99832607157835;-1.7947201034587348, 109.96824646549477;1.935;704;36;3;16;20;2.328;37;9.597;18;5.355;15;5.565;123;4.638;0;0;0;0;0;78.391,20;105.700,20;112.111,20;957;265.501;0;8.371;1.760;552;27.654,62;16.305,74;0;35,28%;15,43%;0,00%;1;0;244;0;0;0;1;0;3;0
Kalimantan Barat;Ketapang;hulu sungai;tidak_cukup;tidak_cukup;tidak_cukup;-1.0484738542508771, 110.76124180526878;;;496;43;23;1;2;0;80;23;1.571;8;470;1;151;0;0;0;0;0;0;0;2.500,00;3.273,40;3.543,00;27;0;0;554;0;0;780,22;0;0;31,21%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;jelai hulu;sangat_cukup;tidak_cukup;tidak_cukup;-2.0625350343357307, 110.865870393134;-2.057710823536312, 110.86962502313827;-2.0596632586043064, 110.87249872691146;604;68;30;1;12;5;418;33;1.923;5;855;2;353;0;0;0;0;0;0;0;7.566,20;9.343,40;9.880,20;431;0;0;8.752;334;25;12.454,69;0;0;164,61%;0,00%;0,00%;0;0;256;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;kendawangan;sangat_cukup;cukup;tidak_cukup;-2.5147952836660834, 110.1958763219728;-2.514374415817607, 110.19573050671568;-2.5130201944839357, 110.19598196504853;1.344;70;58;1;13;22;1.833;56;7.885;17;2.286;8;1.356;0;0;0;0;0;0;0;30.231,20;36.951,60;38.695,20;845;367.891;0;24.882;1.068;411;24.418,13;22.594,03;0;80,77%;61,14%;0,00%;0;1;280;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;manis mata;cukup;tidak_cukup;tidak_cukup;-2.450867110962187, 111.02943244840576;-2.4563933622458047, 111.02978896084038;-2.4535770334989766, 111.03007726694473;891;65;33;1;4;11;695;53;3.868;15;1.468;3;621;0;0;0;0;0;0;0;12.918,00;16.037,40;16.959,00;232;97.588;0;2.566;82;12;6.704,15;5.993,37;0;51,90%;37,37%;0,00%;0;0;80;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;marau;tidak_cukup;tidak_cukup;tidak_cukup;-2.128176173037881, 110.70633239952822;-2.119204464941149, 110.70595892352185;;584;43;28;1;4;6;453;27;2.251;6;824;2;537;0;0;0;0;0;0;0;9.729,20;12.399,00;13.111,20;137;0;0;6.619;82;56;3.958,92;0;0;40,69%;0,00%;0,00%;0;0;37;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;matan hilir selatan;sangat_cukup;sangat_cukup;tidak_cukup;-2.039326361023535, 110.12459029087593;-2.035748482570762, 110.12340816753819;-1.9901882162475553, 110.11737488057459;1.506;84;37;2;14;16;936;30;3.849;11;1.818;4;1.128;13;0;0;0;0;0;0;20.025,40;25.593,60;26.982,40;2.841;1.137.999;0;19.549;1.891;491;82.096,95;69.890,21;0;409,96%;273,08%;0,00%;0;0;752;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;matan hilir utara;cukup;cukup;tidak_cukup;-1.4321735828524031, 110.08481999329426;-1.443191609924539, 110.07840250491641;;515;37;19;1;10;4;388;15;2.033;5;785;2;402;0;0;0;0;0;0;0;7.639,70;9.630,00;10.139,70;153;99.137;0;3.750;525;219;4.421,27;6.088,50;0;57,87%;63,22%;0,00%;0;0;213;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;muara pawan;sangat_cukup;sangat_cukup;tidak_cukup;-1.7227062773388462, 110.0131336611019;-1.6669861729631412, 109.96099446329093;;513;78;18;2;14;8;499;14;1.725;7;806;3;414;0;0;0;0;0;0;0;8.688,60;10.735,20;11.253,60;1.266;257.136;0;7.276;1.198;347;36.583,86;15.792,01;0;421,06%;147,10%;0,00%;0;2;514;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;nanga tayap;sangat_cukup;tidak_cukup;tidak_cukup;-1.525606913791206, 110.56636902871963;-1.4614571937585548, 110.57074186013602;-1.4472473461421584, 110.5493548345598;1.102;80;41;1;13;12;939;46;4.553;14;1.422;4;734;0;0;0;0;0;0;0;16.081,60;19.743,20;20.757,60;490;0;0;3.057;45;247;14.159,63;0;0;88,05%;0,00%;0,00%;0;0;202;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;pemahan;cukup;tidak_cukup;tidak_cukup;-1.744033715761665, 110.56978341268393;;;209;39;7;1;5;3;202;8;618;3;235;1;108;0;0;0;0;0;0;0;2.915,80;3.456,00;3.610,80;57;0;0;876;0;44;1.647,14;0;0;56,49%;0,00%;0,00%;0;0;34;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;sandai;tidak_cukup;tidak_cukup;tidak_cukup;-1.2462492733217514, 110.52672820137069;-1.2460397901069133, 110.52764954085038;;837;80;25;1;13;8;722;29;3.820;11;1.691;5;1.485;0;0;0;0;0;0;0;21.966,80;29.281,80;31.045,80;193;0;0;2.686;0;69;5.577,16;0;0;25,39%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;simpang dua;tidak_cukup;tidak_cukup;tidak_cukup;-0.8078343873751039, 110.35294836403587;-0.7921493456667963, 110.37643150094422;;344;44;11;1;6;3;225;13;1.205;5;468;1;319;0;0;0;0;0;0;0;5.377,00;6.958,60;7.368,00;11;0;0;6.189;101;56;317,87;0;0;5,91%;0,00%;0,00%;0;0;12;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;simpang hulu;tidak_cukup;tidak_cukup;tidak_cukup;-0.5248476578361556, 110.36809708683803;-0.3688874278353192, 110.36700383757558;-0.24639526507362844, 110.39568400711833;961;74;20;1;13;2;636;40;3.804;12;1.618;3;887;0;0;0;0;0;0;0;15.078,90;19.482,20;20.637,90;212;0;0;11.042;64;139;6.126,21;0;0;40,63%;0,00%;0,00%;0;1;20;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;singkup;sangat_cukup;tidak_cukup;tidak_cukup;-2.33443303393165, 110.61755611025862;-2.3340009903000283, 110.61944833355504;;349;40;10;1;4;7;393;11;939;4;386;2;295;0;0;0;0;0;0;0;6.516,20;7.976,20;8.350,20;188;21.686;0;6.923;146;68;5.432,67;1.331,85;0;83,37%;16,70%;0,00%;0;0;7;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;sungai laur;cukup;tidak_cukup;tidak_cukup;-0.9550852313807835, 110.48180542180467;-0.8548296957774217, 110.48335220448148;;593;63;26;1;9;3;493;27;2.150;8;778;1;349;0;0;0;0;0;0;0;8.090,20;9.839,80;10.345,20;211;0;0;14.697;1.390;231;6.097,31;0;0;75,37%;0,00%;0,00%;0;0;90;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;sungai melayu rayak;cukup;tidak_cukup;tidak_cukup;-1.8922691947164119, 110.49249307510627;-1.7909526460099092, 110.40585444320433;;585;45;13;1;7;10;761;16;2.155;9;763;4;539;0;0;0;0;0;0;0;12.223,90;14.885,00;15.549,90;236;0;0;5.331;68;544;6.819,74;0;0;55,79%;0,00%;0,00%;0;0;74;0;0;0;0;0;0;0
Kalimantan Barat;Ketapang;tumbang titi;sangat_cukup;tidak_cukup;tidak_cukup;-1.8230998131159506, 110.61758381035861;-1.8378591258666395, 110.61894015440927;;837;82;29;1;7;9;491;42;3.110;8;976;3;758;0;0;9.500;0;0;0;0;12.527,40;16.301,60;17.324,40;638;24.784;0;6.767;77;303;18.436,41;1.522,11;0;147,17%;9,34%;0,00%;0;0;108;0;0;0;0;0;0;0
Kalimantan Barat;Kota Pontianak;pontianak barat;tidak_cukup;cukup;tidak_cukup;0.07742129585453858, 109.31399800165578;0.007498899769930785, 109.30800346389847;0.23536081362045602, 109.29696117910778;1.602;359;0;4;23;23;2.247;35;13.044;21;6.007;18;6.891;64;0;0;0;0;0;0;91.615,80;125.416,20;133.217,80;285;1.297.045;305;1.436;0;312;8.235,70;79.658,02;4.548,99;8,99%;63,51%;3,41%;3;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kota Pontianak;pontianak kota;tidak_cukup;sangat_cukup;tidak_cukup;0.05936431385855162, 109.32312103287715;-0.02864329357052356, 109.29299129674406;;2.120;862;0;4;28;37;2.754;40;16.660;26;8.740;26;6.990;202;6.709;11.295;0;0;0;0;96.974,60;131.259,60;139.330,60;275;2.287.516;305;3.891;0;1.064;7.946,73;140.487,80;4.548,99;8,19%;107,03%;3,26%;1;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kota Pontianak;pontianak selatan;tidak_cukup;tidak_cukup;tidak_cukup;0.039173439420095914, 109.30267919558999;-0.032053410040003914, 109.33805271636353;0.26142484412578, 109.2971210046512;2.273;401;0;2;19;26;2.060;29;8.591;17;7.298;23;12.490;0;0;0;0;0;0;0;148.776,50;209.998,00;223.867,50;122;0;0;1.179;0;96;3.525,46;0;0;2,37%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kota Pontianak;pontianak tenggara;tidak_cukup;tidak_cukup;tidak_cukup;0.03228471641437755, 109.35509187120287;-0.03156575107994849, 109.2904798747994;;1.345;1.121;0;2;13;18;1.610;21;6.882;11;2.866;13;2.723;207;0;0;0;0;0;0;42.349,00;55.710,20;59.007,00;25;0;0;0;0;69;722,43;0;0;1,71%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kota Pontianak;pontianak timur;tidak_cukup;sangat_cukup;tidak_cukup;0.06843174787133244, 109.36436515690043;-0.029325334055700144, 109.36403625585808;0.24821854293204287, 109.35047945598205;1.206;246;0;3;27;16;1.751;32;9.511;13;3.847;7;3.183;137;0;0;0;0;0;0;48.472,90;64.110,60;67.892,90;62;1.521.461;0;378;0;69;1.791,63;93.440,53;0;3,70%;145,75%;0,00%;2;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kota Pontianak;pontianak utara;tidak_cukup;cukup;sangat_cukup;0.08149013539035489, 109.33281522575906;-0.0006751382386259619, 109.36060392889199;0.24830561660805717, 109.3237570928288;1.218;123;0;3;33;25;2.161;54;15.820;32;6.480;25;6.764;0;0;0;0;0;0;0;89.766,40;122.966,00;130.649,40;658;1.577.451;17.100;16.003;17.100;871;19.014,36;96.879,15;255.041,71;21,18%;78,79%;195,21%;29;1;0;0;0;0;1;0;0;0
Kalimantan Barat;Kota Singkawang;singkawang barat;tidak_cukup;tidak_cukup;sangat_cukup;1.1536655289460713, 108.94627999623957;1.1466404208222016, 108.96262378057799;1.2034029860797886, 108.97683700345551;1.477;757;0;0;14;20;1.618;29;8.328;15;3.681;13;4.576;155;4.255;0;0;0;0;0;61.956,70;84.409,60;89.728,70;62;109.907;2.058.701;1.694;554;164;1.791,63;6.749,94;30.704.948,98;2,89%;8,00%;34219,76%;4;6;0;0;0;0;0;2;6;0
Kalimantan Barat;Kota Singkawang;singkawang selatan;sangat_cukup;sangat_cukup;sangat_cukup;1.1276221984615988, 108.9063061831996;0.885738485938385, 108.95616136109052;;1.138;62;0;10;11;15;687;28;6.513;12;3.037;11;2.432;0;0;0;0;0;0;0;31.611,80;43.559,60;46.360,80;1.158;620.470;1.207.715;11.968;929;852;33.462,96;38.106,17;18.012.731,06;105,86%;87,48%;38853,37%;44;57;0;0;0;0;0;2;3;0
Kalimantan Barat;Kota Singkawang;singkawang tengah;cukup;tidak_cukup;tidak_cukup;1.0142820590633395, 108.99475363322094;0.9192421294571304, 108.99753408681896;;1.148;105;0;0;11;16;890;24;7.017;13;4.215;11;4.860;203;0;0;0;0;0;0;58.769,00;82.608,00;88.265,00;1.062;587.535;0;8.390;5.935;635;30.688,83;36.083,46;0;52,22%;43,68%;0,00%;11;0;1;0;0;0;4;10;5;0
Kalimantan Barat;Kota Singkawang;singkawang timur;sangat_cukup;tidak_cukup;sangat_cukup;0.8802937134862026, 109.05249841908599;0.8931558270152609, 109.06403368169377;;505;259;0;0;4;5;307;16;2.791;6;1.360;3;887;0;0;0;0;0;0;0;12.063,30;16.430,60;17.478,30;724;106.181;1.357.505;11.103;757;307;20.921,57;6.521,11;20.246.806,97;173,43%;39,69%;115839,68%;5;19;4;0;0;0;0;1;1;0
Kalimantan Barat;Kota Singkawang;singkawang utara;tidak_cukup;sangat_cukup;sangat_cukup;1.153674613931782, 108.95956227937073;0.9925603358240845, 108.9882318683408;;461;51;0;0;4;6;458;15;3.514;5;1.801;3;931;0;0;3.940;0;0;0;0;13.783,20;18.364,60;19.456,20;226;587.720;46.901;5.144;2.263;2.717;6.530,77;36.094,82;699.515,28;47,38%;196,55%;3595,33%;25;0;0;4;0;0;0;4;1;0
Kalimantan Barat;Kubu Raya;batu ampar;tidak_cukup;cukup;tidak_cukup;-0.6983868429836977, 109.2608217180206;-0.6977260583041553, 109.54553244184092;-0.7474032602324405, 109.53678311355382;430;49;47;3;3;1;226;34;4.154;13;1.708;6;1.287;0;0;0;0;845;837;3.046;15.774,90;22.126,20;23.694,90;168;255.748;0;19.612;205;1.278;4.854,73;15.706,76;0;30,78%;70,99%;0,00%;0;0;0;0;0;0;0;0;1;0
Kalimantan Barat;Kubu Raya;kuala mandor/b;tidak_cukup;tidak_cukup;tidak_cukup;0.07303665563342025, 109.46523369743562;0.01848296341679712, 109.49208772842506;;890;17;33;1;20;3;821;56;3.703;33;1.664;21;1.371;0;0;0;0;613;607;2.196;21.900,90;28.681,80;30.441,90;30;115.442;0;922;2;110;866,92;7.089,87;0;3,96%;24,72%;0,00%;0;0;0;0;0;0;0;0;1;0
Kalimantan Barat;Kubu Raya;kubu;sangat_cukup;tidak_cukup;sangat_cukup;-0.491877631042621, 109.37910812336818;-0.39078468972590613, 109.38524346162667;-0.18308466115018868, 109.34171246769222;1.027;48;39;2;12;6;529;47;4.671;14;1.783;10;1.275;0;0;0;0;940;933;3.356;18.334,60;24.642,60;26.256,60;697;173.316;72.936;39.802;1.286;2.959;20.141,35;10.644,20;1.087.820,02;109,85%;43,19%;4143,03%;0;0;180;231;0;0;0;0;0;0
Kalimantan Barat;Kubu Raya;rasau jaya;sangat_cukup;sangat_cukup;sangat_cukup;0.007033330238899619, 109.35969021468297;-0.22668096047773478, 109.37438477063463;;684;44;21;1;11;3;709;21;3.829;9;1.922;13;2.156;87;0;0;0;607;602;2.163;28.827,10;39.410,00;41.963,10;1.243;842.693;13.539;27.782;2.094;2.919;35.919,22;51.753,99;201.930,39;124,60%;131,32%;481,21%;2;1;0;0;0;0;0;0;0;0
Kalimantan Barat;Kubu Raya;sungai ambawang;tidak_cukup;sangat_cukup;tidak_cukup;0.04136002868554261, 109.41927146810805;-0.014314739412469872, 109.38386759863616;0.24817497807753788, 109.36384301994141;1.450;66;78;3;38;17;2.113;113;12.530;53;6.982;44;5.532;0;0;0;0;1.668;1.655;6.061;77.065,70;104.298,00;110.891,70;153;1.553.869;0;10.637;536;542;4.421,27;95.430,86;0;5,74%;91,50%;0,00%;53;2;41;58;0;0;0;1;7;0
Kalimantan Barat;Kubu Raya;sungai kakap;tidak_cukup;sangat_cukup;sangat_cukup;0.03670825443635101, 109.20859014956737;-0.04401974913692081, 109.18064718394712;0.2618509249476734, 109.16363436845222;1.019;77;78;3;31;28;1.985;75;14.059;45;5.892;30;3.782;0;0;0;0;2.621;2.599;9.328;57.202,50;75.816,80;80.314,50;629;3.138.788;62.236;26.115;5.062;2.602;18.176,34;192.768,67;928.232,51;31,78%;254,26%;1155,75%;10;1;94;100;0;0;1;0;0;0
Kalimantan Barat;Kubu Raya;sungai raya;tidak_cukup;sangat_cukup;sangat_cukup;-0.012868512057555043, 109.4100039144941;-0.12648969227926785, 109.41211937318919;0.10835655617133394, 109.39963182825785;5.689;131;144;4;69;47;5.020;150;26.932;76;12.173;55;9.072;20;13.491;11.003;0;4.826;4.779;17.305;139.054,00;183.676,80;194.351,00;2.083;3.568.402;449.029;24.162;1.654;4.305;60.192,87;219.153,41;6.697.141,81;43,29%;119,31%;3445,90%;14;1;548;286;0;0;2;1;50;4
Kalimantan Barat;Kubu Raya;teluk pakedai;tidak_cukup;cukup;sangat_cukup;-0.31525995496554526, 109.15133542947663;-0.29123513757794833, 109.1506596191414;-0.30524255748334966, 109.15102252079653;485;28;29;1;13;2;520;28;2.190;11;929;7;807;0;0;0;0;479;474;1.725;13.142,50;17.131,80;18.145,50;71;163.823;2.457;3.634;166;347;2.051,70;10.061,19;36.645,47;15,61%;58,73%;201,95%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Kubu Raya;terentang;cukup;tidak_cukup;sangat_cukup;-0.3825693985265603, 109.62933748826178;-0.41291855976066427, 109.63001915505858;-0.37780479092197733, 109.62734036060814;481;53;27;2;8;1;249;23;1.532;8;670;4;605;0;0;0;0;253;251;937;8.689,60;11.684,60;12.453,60;193;73.184;40.945;1.206;111;932;5.577,16;4.494,60;610.683,21;64,18%;38,47%;4903,67%;4;0;100;124;0;0;0;0;0;0
Kalimantan Barat;Landak;air besar;tidak_cukup;tidak_cukup;tidak_cukup;1.033550474615485, 110.1128547353154;0.7547551482408142, 110.10894689601685;;560;86;0;0;8;3;364;37;2.599;5;984;1;320;0;0;0;0;0;0;0;6.807,10;8.429,60;8.948,10;5;0;0;4.530;16;20;144,49;0;0;2,12%;0,00%;0,00%;0;0;7;0;0;0;0;0;0;0
Kalimantan Barat;Landak;banyuke hulu;cukup;tidak_cukup;tidak_cukup;0.9976937838657981, 109.48155117187159;;;328;41;0;0;3;1;127;19;1.441;4;676;1;380;0;0;0;0;0;0;0;5.257,30;7.146,80;7.650,30;109;0;0;2.264;13;53;3.149,79;0;0;59,91%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Landak;jelimpo;tidak_cukup;tidak_cukup;tidak_cukup;0.41889733381423544, 110.0579301173189;;;596;54;0;0;22;3;544;35;3.244;8;1.310;3;429;0;0;338;0;0;0;0;9.444,60;11.596,20;12.225,60;58;0;0;11.147;262;123;1.676,04;0;0;17,75%;0,00%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Landak;kuala behe;cukup;cukup;tidak_cukup;0.8407740434448148, 109.98043284944723;0.5840468938293856, 109.99748123635874;;836;38;0;0;6;3;216;33;2.013;5;484;2;248;0;0;0;0;0;0;0;4.766,90;6.029,60;6.450,90;127;66.630;0;5.304;140;83;3.669,94;4.092,08;0;76,99%;67,87%;0,00%;0;0;0;0;0;0;0;0;0;0
Kalimantan Barat;Landak;mandor;tidak_cukup;tidak_cukup;tidak_cukup;0.5806588938989311, 109.31948131591426;0.32498196180975764, 109.34042861716286;0.5920193654140649, 109.32156840838121;1.557;49;0;0;18;8;806;34;3.776;7;1.792;6;1.547;0;0;0;0;0;0;0;23.376,90;31.002,20;32.856,90;215;182.680;0;23.570;1.866;602;6.212,90;11.219,29;0;26,58%;36,19%;0,00%;1;0;3;0;0;0;0;0;0;0
Kalimantan Barat;Landak;mempawah hulu;cukup;tidak_cukup;tidak_cukup;0.815174917801613, 109.3595443251691;0.5706959444637052, 109.38050302551169;0.552554143045359, 109.37477254315507;1.298;51;0;0;29;8;1.049;46;4.614;16;2.206;8;1.888;0;0;597;0;0;0;0;29.126,60;38.438,80;40.722,60;745;102.791;0;20.508;507;273;21.528,41;6.312,91;0;73,91%;16,42%;0,00%;0;0;0;0;0;0;0;0;0;0
