"tahun";"kabupaten";"kecamatan";"hirarki";"SKORING";"Jumlah Farm Budidaya Ayam Ras Pedaging";"Jumlah Farm Budidaya Ayam Ras Petelur";"Jumlah Farm/Kandang Budidaya sapi/Kerbau";"Jumlah Farm/Kandang Budidaya Kambing/Domba";"Jumlah Farm/Kandang Budidaya Babi";"Jumlah Kandang/Ruta Budidaya Ayam Lokal/ Buras";"Jumlah Kandang/Ruta Budidaya Bebek/Itik";"Jumlah Kios Sapronak/ Unit Obat Hewan";"Jumlah RPH/TPA Unggas";"Jumlah RPH/TPA Sapi/Kerbau";"Jumlah RPH/TPA Kambing/ Domba";"Jumlah RPH/TPA Babi";"Jumlah Gudang Kering";"Jumlah Gudang Pendingin/ Cold Storage";"Jumlah Kios Daging/ Ritel Produk Hewan";"UPH daging Ayam";"UPH daging Sapi";"Jumlah Pos IB";"Jumlah Klinik Hewan/ Praktek Dokter Hewan";"Jumlah Pusat Kesehatan Hewan";"RS Hewan";"Jumlah Pos Lalu Lintas Hewan/ Produk Hewan"
"2025";"Sambas ";"Selakau";"Sentra Produksi Ternak";"3";"34";"0";"33";"27";"3";"7";"130";"1";"4";"0";"0";"0";"1";"0";"1";"1";"2";"0";"0";"0";" ";" "
"2025";"Sambas ";"Selakau Timur";"Sentra Produksi Ternak";"3";"9";"0";"14";"11";"0";"5";"97";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";" ";" "
"2025";"Sambas ";"Pemangkat";"Pusat Pertumbuhan Peternakan";"2";"35";"7";"44";"36";"3";"3";"126";"1";"5";"1";"0";"0";"1";"1";"1";"2";"2";"0";"1";"1";" ";" "
"2025";"Sambas ";"Semparuk";"Pusat Pertumbuhan Peternakan";"2";"96";"2";"20";"17";"1";"6";"69";"1";"13";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";" ";" "
